token	source	category	definition
aalt	spec	tag_feature	Access All Alternates	
abvf	spec	tag_feature	Above-Base Forms	
abvm	spec	tag_feature	Above-Base Mark Positioning	
abvs	spec	tag_feature	Above-Base Substitutions	
afrc	spec	tag_feature	Alternative Fractions	
akhn	spec	tag_feature	Akhands	
apkn	spec	tag_feature	Kerning for Alternate Proportional Widths	
blwf	spec	tag_feature	Below-Base Forms	
blwm	spec	tag_feature	Below-Base Mark Positioning	
blws	spec	tag_feature	Below-Base Substitutions	
calt	spec	tag_feature	Contextual Alternates	
case	spec	tag_feature	Case-Sensitive Forms	
ccmp	spec	tag_feature	Glyph Composition / Decomposition	
cfar	spec	tag_feature	Conjunct Form After Ro	
chws	spec	tag_feature	Contextual Half-Width Spacing	
cjct	spec	tag_feature	Conjunct Forms	
clig	spec	tag_feature	Contextual Ligatures	
cpct	spec	tag_feature	Centered CJK Punctuation	
cpsp	spec	tag_feature	Capital Spacing	
cswh	spec	tag_feature	Contextual Swash	
curs	spec	tag_feature	Cursive Positioning	
cv01	spec	tag_feature	Character Variant 1	
cv02	spec	tag_feature	Character Variant 2	
cv03	spec	tag_feature	Character Variant 3	
cv04	spec	tag_feature	Character Variant 4	
cv05	spec	tag_feature	Character Variant 5	
cv06	spec	tag_feature	Character Variant 6	
cv07	spec	tag_feature	Character Variant 7	
cv08	spec	tag_feature	Character Variant 8	
cv09	spec	tag_feature	Character Variant 9	
cv10	spec	tag_feature	Character Variant 10	
cv11	spec	tag_feature	Character Variant 11	
cv12	spec	tag_feature	Character Variant 12	
cv13	spec	tag_feature	Character Variant 13	
cv14	spec	tag_feature	Character Variant 14	
cv15	spec	tag_feature	Character Variant 15	
cv16	spec	tag_feature	Character Variant 16	
cv17	spec	tag_feature	Character Variant 17	
cv18	spec	tag_feature	Character Variant 18	
cv19	spec	tag_feature	Character Variant 19	
cv20	spec	tag_feature	Character Variant 20	
cv21	spec	tag_feature	Character Variant 21	
cv22	spec	tag_feature	Character Variant 22	
cv23	spec	tag_feature	Character Variant 23	
cv24	spec	tag_feature	Character Variant 24	
cv25	spec	tag_feature	Character Variant 25	
cv26	spec	tag_feature	Character Variant 26	
cv27	spec	tag_feature	Character Variant 27	
cv28	spec	tag_feature	Character Variant 28	
cv29	spec	tag_feature	Character Variant 29	
cv30	spec	tag_feature	Character Variant 30	
cv31	spec	tag_feature	Character Variant 31	
cv32	spec	tag_feature	Character Variant 32	
cv33	spec	tag_feature	Character Variant 33	
cv34	spec	tag_feature	Character Variant 34	
cv35	spec	tag_feature	Character Variant 35	
cv36	spec	tag_feature	Character Variant 36	
cv37	spec	tag_feature	Character Variant 37	
cv38	spec	tag_feature	Character Variant 38	
cv39	spec	tag_feature	Character Variant 39	
cv40	spec	tag_feature	Character Variant 40	
cv41	spec	tag_feature	Character Variant 41	
cv42	spec	tag_feature	Character Variant 42	
cv43	spec	tag_feature	Character Variant 43	
cv44	spec	tag_feature	Character Variant 44	
cv45	spec	tag_feature	Character Variant 45	
cv46	spec	tag_feature	Character Variant 46	
cv47	spec	tag_feature	Character Variant 47	
cv48	spec	tag_feature	Character Variant 48	
cv49	spec	tag_feature	Character Variant 49	
cv50	spec	tag_feature	Character Variant 50	
cv51	spec	tag_feature	Character Variant 51	
cv52	spec	tag_feature	Character Variant 52	
cv53	spec	tag_feature	Character Variant 53	
cv54	spec	tag_feature	Character Variant 54	
cv55	spec	tag_feature	Character Variant 55	
cv56	spec	tag_feature	Character Variant 56	
cv57	spec	tag_feature	Character Variant 57	
cv58	spec	tag_feature	Character Variant 58	
cv59	spec	tag_feature	Character Variant 59	
cv60	spec	tag_feature	Character Variant 60	
cv61	spec	tag_feature	Character Variant 61	
cv62	spec	tag_feature	Character Variant 62	
cv63	spec	tag_feature	Character Variant 63	
cv64	spec	tag_feature	Character Variant 64	
cv65	spec	tag_feature	Character Variant 65	
cv66	spec	tag_feature	Character Variant 66	
cv67	spec	tag_feature	Character Variant 67	
cv68	spec	tag_feature	Character Variant 68	
cv69	spec	tag_feature	Character Variant 69	
cv70	spec	tag_feature	Character Variant 70	
cv71	spec	tag_feature	Character Variant 71	
cv72	spec	tag_feature	Character Variant 72	
cv73	spec	tag_feature	Character Variant 73	
cv74	spec	tag_feature	Character Variant 74	
cv75	spec	tag_feature	Character Variant 75	
cv76	spec	tag_feature	Character Variant 76	
cv77	spec	tag_feature	Character Variant 77	
cv78	spec	tag_feature	Character Variant 78	
cv79	spec	tag_feature	Character Variant 79	
cv80	spec	tag_feature	Character Variant 80	
cv81	spec	tag_feature	Character Variant 81	
cv82	spec	tag_feature	Character Variant 82	
cv83	spec	tag_feature	Character Variant 83	
cv84	spec	tag_feature	Character Variant 84	
cv85	spec	tag_feature	Character Variant 85	
cv86	spec	tag_feature	Character Variant 86	
cv87	spec	tag_feature	Character Variant 87	
cv88	spec	tag_feature	Character Variant 88	
cv89	spec	tag_feature	Character Variant 89	
cv90	spec	tag_feature	Character Variant 90	
cv91	spec	tag_feature	Character Variant 91	
cv92	spec	tag_feature	Character Variant 92	
cv93	spec	tag_feature	Character Variant 93	
cv94	spec	tag_feature	Character Variant 94	
cv95	spec	tag_feature	Character Variant 95	
cv96	spec	tag_feature	Character Variant 96	
cv97	spec	tag_feature	Character Variant 97	
cv98	spec	tag_feature	Character Variant 98	
cv99	spec	tag_feature	Character Variant 99	
c2pc	spec	tag_feature	Petite Capitals From Capitals	
c2sc	spec	tag_feature	Small Capitals From Capitals	
dist	spec	tag_feature	Distances	
dlig	spec	tag_feature	Discretionary Ligatures	
dnom	spec	tag_feature	Denominators	
dtls	spec	tag_feature	Dotless Forms	
expt	spec	tag_feature	Expert Forms	
falt	spec	tag_feature	Final Glyph On Line Alternates	
fin2	spec	tag_feature	Terminal Forms #2	
fin3	spec	tag_feature	Terminal Forms #3	
fina	spec	tag_feature	Terminal Forms	
flac	spec	tag_feature	Flattened Accent Forms	
frac	spec	tag_feature	Fractions	
fwid	spec	tag_feature	Full Widths	
half	spec	tag_feature	Half Forms	
haln	spec	tag_feature	Halant Forms	
halt	spec	tag_feature	Alternate Half Widths	
hist	spec	tag_feature	Historical Forms	
hkna	spec	tag_feature	Horizontal Kana Alternates	
hlig	spec	tag_feature	Historical Ligatures	
hngl	spec	tag_feature	Hangul (Deprecated)	
hojo	spec	tag_feature	Hojo Kanji Forms (JIS X 0212-1990 Kanji Forms)	
hwid	spec	tag_feature	Half Widths	
init	spec	tag_feature	Initial Forms	
isol	spec	tag_feature	Isolated Forms	
ital	spec	tag_feature	Italics	
jalt	spec	tag_feature	Justification Alternates	
jp78	spec	tag_feature	JIS78 Forms	
jp83	spec	tag_feature	JIS83 Forms	
jp90	spec	tag_feature	JIS90 Forms	
jp04	spec	tag_feature	JIS2004 Forms	
kern	spec	tag_feature	Kerning	
lfbd	spec	tag_feature	Left Bounds	
liga	spec	tag_feature	Standard Ligatures	
ljmo	spec	tag_feature	Leading Jamo Forms	
lnum	spec	tag_feature	Lining Figures	
locl	spec	tag_feature	Localized Forms	
ltra	spec	tag_feature	Left-To-Right Alternates	
ltrm	spec	tag_feature	Left-To-Right Mirrored Forms	
mark	spec	tag_feature	Mark Positioning	
med2	spec	tag_feature	Medial Forms #2	
medi	spec	tag_feature	Medial Forms	
mgrk	spec	tag_feature	Mathematical Greek	
mkmk	spec	tag_feature	Mark To Mark Positioning	
mset	spec	tag_feature	Mark Positioning Via Substitution	
nalt	spec	tag_feature	Alternate Annotation Forms	
nlck	spec	tag_feature	NLC Kanji Forms	
nukt	spec	tag_feature	Nukta Forms	
numr	spec	tag_feature	Numerators	
onum	spec	tag_feature	Oldstyle Figures	
opbd	spec	tag_feature	Optical Bounds (Deprecated)	
ordn	spec	tag_feature	Ordinals	
ornm	spec	tag_feature	Ornaments	
palt	spec	tag_feature	Proportional Alternate Widths	
pcap	spec	tag_feature	Petite Capitals	
pkna	spec	tag_feature	Proportional Kana	
pnum	spec	tag_feature	Proportional Figures	
pref	spec	tag_feature	Pre-Base Forms	
pres	spec	tag_feature	Pre-Base Substitutions	
pstf	spec	tag_feature	Post-Base Forms	
psts	spec	tag_feature	Post-Base Substitutions	
pwid	spec	tag_feature	Proportional Widths	
qwid	spec	tag_feature	Quarter Widths	
rand	spec	tag_feature	Randomize	
rclt	spec	tag_feature	Required Contextual Alternates	
rkrf	spec	tag_feature	Rakar Forms	
rlig	spec	tag_feature	Required Ligatures	
rphf	spec	tag_feature	Reph Forms	
rtbd	spec	tag_feature	Right Bounds	
rtla	spec	tag_feature	Right-To-Left Alternates	
rtlm	spec	tag_feature	Right-To-Left Mirrored Forms	
ruby	spec	tag_feature	Ruby Notation Forms	
rvrn	spec	tag_feature	Required Variation Alternates	
salt	spec	tag_feature	Stylistic Alternates	
sinf	spec	tag_feature	Scientific Inferiors	
size	spec	tag_feature	Optical Size	
smcp	spec	tag_feature	Small Capitals	
smpl	spec	tag_feature	Simplified Forms	
ss01	spec	tag_feature	Stylistic Set 1	
ss02	spec	tag_feature	Stylistic Set 2	
ss03	spec	tag_feature	Stylistic Set 3	
ss04	spec	tag_feature	Stylistic Set 4	
ss05	spec	tag_feature	Stylistic Set 5	
ss06	spec	tag_feature	Stylistic Set 6	
ss07	spec	tag_feature	Stylistic Set 7	
ss08	spec	tag_feature	Stylistic Set 8	
ss09	spec	tag_feature	Stylistic Set 9	
ss10	spec	tag_feature	Stylistic Set 10	
ss11	spec	tag_feature	Stylistic Set 11	
ss12	spec	tag_feature	Stylistic Set 12	
ss13	spec	tag_feature	Stylistic Set 13	
ss14	spec	tag_feature	Stylistic Set 14	
ss15	spec	tag_feature	Stylistic Set 15	
ss16	spec	tag_feature	Stylistic Set 16	
ss17	spec	tag_feature	Stylistic Set 17	
ss18	spec	tag_feature	Stylistic Set 18	
ss19	spec	tag_feature	Stylistic Set 19	
ss20	spec	tag_feature	Stylistic Set 20	
ssty	spec	tag_feature	Math Script-Style Alternates	
stch	spec	tag_feature	Stretching Glyph Decomposition	
subs	spec	tag_feature	Subscript	
sups	spec	tag_feature	Superscript	
swsh	spec	tag_feature	Swash	
titl	spec	tag_feature	Titling	
tjmo	spec	tag_feature	Trailing Jamo Forms	
tnam	spec	tag_feature	Traditional Name Forms	
tnum	spec	tag_feature	Tabular Figures	
trad	spec	tag_feature	Traditional Forms	
twid	spec	tag_feature	Third Widths	
unic	spec	tag_feature	Unicase	
valt	spec	tag_feature	Alternate Vertical Metrics	
vapk	spec	tag_feature	Kerning for Alternate Proportional Vertical Metrics	
vatu	spec	tag_feature	Vattu Variants	
vchw	spec	tag_feature	Vertical Contextual Half-Width Spacing	
vert	spec	tag_feature	Vertical Alternates	
vhal	spec	tag_feature	Alternate Vertical Half Metrics	
vjmo	spec	tag_feature	Vowel Jamo Forms	
vkna	spec	tag_feature	Vertical Kana Alternates	
vkrn	spec	tag_feature	Vertical Kerning	
vpal	spec	tag_feature	Proportional Alternate Vertical Metrics	
vrt2	spec	tag_feature	Vertical Alternates and Rotation	
vrtr	spec	tag_feature	Vertical Alternates for Rotation	
zero	spec	tag_feature	Slashed Zero	
 REQ	fontforge	tag_feature	Required FontForge internal usage	
ITLC	fontforge	tag_feature	(deprecated) TeX Math Italic Correction	
TCHL	fontforge	tag_feature	(deprecated) TeX Math Charlist	
TEXL	fontforge	tag_feature	(deprecated) TeX Math Extension List	
Harf	harfbuzz	tag_feature	Required HarfBuzz private-use	
Buzz	harfbuzz	tag_feature	Required HarfBuzz private-use	
HARF	harfbuzz	tag_feature	Discretionary HarfBuzz private-use 	
BUZZ	harfbuzz	tag_feature	Discretionary HarfBuzz private-use	
zz01	volt	tag_feature	VOLT internal usage 1	
zz02	volt	tag_feature	VOLT internal usage 2	
zz03	volt	tag_feature	VOLT internal usage 3	
zz04	volt	tag_feature	VOLT internal usage 4	
zz05	volt	tag_feature	VOLT internal usage 5	
zz06	volt	tag_feature	VOLT internal usage 6	
zz07	volt	tag_feature	VOLT internal usage 7	
zz08	volt	tag_feature	VOLT internal usage 8	
zz09	volt	tag_feature	VOLT internal usage 9	
zz10	volt	tag_feature	VOLT internal usage 10	
zz11	volt	tag_feature	VOLT internal usage 11	
zz12	volt	tag_feature	VOLT internal usage 12	
zz13	volt	tag_feature	VOLT internal usage 13	
zz14	volt	tag_feature	VOLT internal usage 14	
zz15	volt	tag_feature	VOLT internal usage 15	
zz16	volt	tag_feature	VOLT internal usage 16	
zz17	volt	tag_feature	VOLT internal usage 17	
zz18	volt	tag_feature	VOLT internal usage 18	
zz19	volt	tag_feature	VOLT internal usage 19	
zz20	volt	tag_feature	VOLT internal usage 20	
zz21	volt	tag_feature	VOLT internal usage 21	
zz22	volt	tag_feature	VOLT internal usage 22	
zz23	volt	tag_feature	VOLT internal usage 23	
zz24	volt	tag_feature	VOLT internal usage 24	
zz25	volt	tag_feature	VOLT internal usage 25	
zz26	volt	tag_feature	VOLT internal usage 26	
zz27	volt	tag_feature	VOLT internal usage 27	
zz28	volt	tag_feature	VOLT internal usage 28	
zz29	volt	tag_feature	VOLT internal usage 29	
zz30	volt	tag_feature	VOLT internal usage 30	
zz31	volt	tag_feature	VOLT internal usage 31	
zz32	volt	tag_feature	VOLT internal usage 32	
zz33	volt	tag_feature	VOLT internal usage 33	
zz34	volt	tag_feature	VOLT internal usage 34	
zz35	volt	tag_feature	VOLT internal usage 35	
zz36	volt	tag_feature	VOLT internal usage 36	
zz37	volt	tag_feature	VOLT internal usage 37	
zz38	volt	tag_feature	VOLT internal usage 38	
zz39	volt	tag_feature	VOLT internal usage 39	
zz40	volt	tag_feature	VOLT internal usage 40	
zz41	volt	tag_feature	VOLT internal usage 41	
zz42	volt	tag_feature	VOLT internal usage 42	
zz43	volt	tag_feature	VOLT internal usage 43	
zz44	volt	tag_feature	VOLT internal usage 44	
zz45	volt	tag_feature	VOLT internal usage 45	
zz46	volt	tag_feature	VOLT internal usage 46	
zz47	volt	tag_feature	VOLT internal usage 47	
zz48	volt	tag_feature	VOLT internal usage 48	
zz49	volt	tag_feature	VOLT internal usage 49	
zz50	volt	tag_feature	VOLT internal usage 50	
zz51	volt	tag_feature	VOLT internal usage 51	
zz52	volt	tag_feature	VOLT internal usage 52	
zz53	volt	tag_feature	VOLT internal usage 53	
zz54	volt	tag_feature	VOLT internal usage 54	
zz55	volt	tag_feature	VOLT internal usage 55	
zz56	volt	tag_feature	VOLT internal usage 56	
zz57	volt	tag_feature	VOLT internal usage 57	
zz58	volt	tag_feature	VOLT internal usage 58	
zz59	volt	tag_feature	VOLT internal usage 59	
zz60	volt	tag_feature	VOLT internal usage 60	
zz61	volt	tag_feature	VOLT internal usage 61	
zz62	volt	tag_feature	VOLT internal usage 62	
zz63	volt	tag_feature	VOLT internal usage 63	
zz64	volt	tag_feature	VOLT internal usage 64	
