aalt	spec	feature	Access All Alternates	
abvf	spec	feature	Above-Base Forms	
abvm	spec	feature	Above-Base Mark Positioning	
abvs	spec	feature	Above-Base Substitutions	
afrc	spec	feature	Alternative Fractions	
akhn	spec	feature	Akhands	
apkn	spec	feature	Kerning for Alternate Proportional Widths	
blwf	spec	feature	Below-Base Forms	
blwm	spec	feature	Below-Base Mark Positioning	
blws	spec	feature	Below-Base Substitutions	
calt	spec	feature	Contextual Alternates	
case	spec	feature	Case-Sensitive Forms	
ccmp	spec	feature	Glyph Composition / Decomposition	
cfar	spec	feature	Conjunct Form After Ro	
chws	spec	feature	Contextual Half-Width Spacing	
cjct	spec	feature	Conjunct Forms	
clig	spec	feature	Contextual Ligatures	
cpct	spec	feature	Centered CJK Punctuation	
cpsp	spec	feature	Capital Spacing	
cswh	spec	feature	Contextual Swash	
curs	spec	feature	Cursive Positioning	
cv01	spec	feature	Character Variant 1	
cv02	spec	feature	Character Variant 2	
cv03	spec	feature	Character Variant 3	
cv04	spec	feature	Character Variant 4	
cv05	spec	feature	Character Variant 5	
cv06	spec	feature	Character Variant 6	
cv07	spec	feature	Character Variant 7	
cv08	spec	feature	Character Variant 8	
cv09	spec	feature	Character Variant 9	
cv10	spec	feature	Character Variant 10	
cv11	spec	feature	Character Variant 11	
cv12	spec	feature	Character Variant 12	
cv13	spec	feature	Character Variant 13	
cv14	spec	feature	Character Variant 14	
cv15	spec	feature	Character Variant 15	
cv16	spec	feature	Character Variant 16	
cv17	spec	feature	Character Variant 17	
cv18	spec	feature	Character Variant 18	
cv19	spec	feature	Character Variant 19	
cv20	spec	feature	Character Variant 20	
cv21	spec	feature	Character Variant 21	
cv22	spec	feature	Character Variant 22	
cv23	spec	feature	Character Variant 23	
cv24	spec	feature	Character Variant 24	
cv25	spec	feature	Character Variant 25	
cv26	spec	feature	Character Variant 26	
cv27	spec	feature	Character Variant 27	
cv28	spec	feature	Character Variant 28	
cv29	spec	feature	Character Variant 29	
cv30	spec	feature	Character Variant 30	
cv31	spec	feature	Character Variant 31	
cv32	spec	feature	Character Variant 32	
cv33	spec	feature	Character Variant 33	
cv34	spec	feature	Character Variant 34	
cv35	spec	feature	Character Variant 35	
cv36	spec	feature	Character Variant 36	
cv37	spec	feature	Character Variant 37	
cv38	spec	feature	Character Variant 38	
cv39	spec	feature	Character Variant 39	
cv40	spec	feature	Character Variant 40	
cv41	spec	feature	Character Variant 41	
cv42	spec	feature	Character Variant 42	
cv43	spec	feature	Character Variant 43	
cv44	spec	feature	Character Variant 44	
cv45	spec	feature	Character Variant 45	
cv46	spec	feature	Character Variant 46	
cv47	spec	feature	Character Variant 47	
cv48	spec	feature	Character Variant 48	
cv49	spec	feature	Character Variant 49	
cv50	spec	feature	Character Variant 50	
cv51	spec	feature	Character Variant 51	
cv52	spec	feature	Character Variant 52	
cv53	spec	feature	Character Variant 53	
cv54	spec	feature	Character Variant 54	
cv55	spec	feature	Character Variant 55	
cv56	spec	feature	Character Variant 56	
cv57	spec	feature	Character Variant 57	
cv58	spec	feature	Character Variant 58	
cv59	spec	feature	Character Variant 59	
cv60	spec	feature	Character Variant 60	
cv61	spec	feature	Character Variant 61	
cv62	spec	feature	Character Variant 62	
cv63	spec	feature	Character Variant 63	
cv64	spec	feature	Character Variant 64	
cv65	spec	feature	Character Variant 65	
cv66	spec	feature	Character Variant 66	
cv67	spec	feature	Character Variant 67	
cv68	spec	feature	Character Variant 68	
cv69	spec	feature	Character Variant 69	
cv70	spec	feature	Character Variant 70	
cv71	spec	feature	Character Variant 71	
cv72	spec	feature	Character Variant 72	
cv73	spec	feature	Character Variant 73	
cv74	spec	feature	Character Variant 74	
cv75	spec	feature	Character Variant 75	
cv76	spec	feature	Character Variant 76	
cv77	spec	feature	Character Variant 77	
cv78	spec	feature	Character Variant 78	
cv79	spec	feature	Character Variant 79	
cv80	spec	feature	Character Variant 80	
cv81	spec	feature	Character Variant 81	
cv82	spec	feature	Character Variant 82	
cv83	spec	feature	Character Variant 83	
cv84	spec	feature	Character Variant 84	
cv85	spec	feature	Character Variant 85	
cv86	spec	feature	Character Variant 86	
cv87	spec	feature	Character Variant 87	
cv88	spec	feature	Character Variant 88	
cv89	spec	feature	Character Variant 89	
cv90	spec	feature	Character Variant 90	
cv91	spec	feature	Character Variant 91	
cv92	spec	feature	Character Variant 92	
cv93	spec	feature	Character Variant 93	
cv94	spec	feature	Character Variant 94	
cv95	spec	feature	Character Variant 95	
cv96	spec	feature	Character Variant 96	
cv97	spec	feature	Character Variant 97	
cv98	spec	feature	Character Variant 98	
cv99	spec	feature	Character Variant 99	
c2pc	spec	feature	Petite Capitals From Capitals	
c2sc	spec	feature	Small Capitals From Capitals	
dist	spec	feature	Distances	
dlig	spec	feature	Discretionary Ligatures	
dnom	spec	feature	Denominators	
dtls	spec	feature	Dotless Forms	
expt	spec	feature	Expert Forms	
falt	spec	feature	Final Glyph On Line Alternates	
fin2	spec	feature	Terminal Forms #2	
fin3	spec	feature	Terminal Forms #3	
fina	spec	feature	Terminal Forms	
flac	spec	feature	Flattened Accent Forms	
frac	spec	feature	Fractions	
fwid	spec	feature	Full Widths	
half	spec	feature	Half Forms	
haln	spec	feature	Halant Forms	
halt	spec	feature	Alternate Half Widths	
hist	spec	feature	Historical Forms	
hkna	spec	feature	Horizontal Kana Alternates	
hlig	spec	feature	Historical Ligatures	
hngl	spec	feature	Hangul (Deprecated)	
hojo	spec	feature	Hojo Kanji Forms (JIS X 0212-1990 Kanji Forms)	
hwid	spec	feature	Half Widths	
init	spec	feature	Initial Forms	
isol	spec	feature	Isolated Forms	
ital	spec	feature	Italics	
jalt	spec	feature	Justification Alternates	
jp78	spec	feature	JIS78 Forms	
jp83	spec	feature	JIS83 Forms	
jp90	spec	feature	JIS90 Forms	
jp04	spec	feature	JIS2004 Forms	
kern	spec	feature	Kerning	
lfbd	spec	feature	Left Bounds	
liga	spec	feature	Standard Ligatures	
ljmo	spec	feature	Leading Jamo Forms	
lnum	spec	feature	Lining Figures	
locl	spec	feature	Localized Forms	
ltra	spec	feature	Left-To-Right Alternates	
ltrm	spec	feature	Left-To-Right Mirrored Forms	
mark	spec	feature	Mark Positioning	
med2	spec	feature	Medial Forms #2	
medi	spec	feature	Medial Forms	
mgrk	spec	feature	Mathematical Greek	
mkmk	spec	feature	Mark To Mark Positioning	
mset	spec	feature	Mark Positioning Via Substitution	
nalt	spec	feature	Alternate Annotation Forms	
nlck	spec	feature	NLC Kanji Forms	
nukt	spec	feature	Nukta Forms	
numr	spec	feature	Numerators	
onum	spec	feature	Oldstyle Figures	
opbd	spec	feature	Optical Bounds (Deprecated)	
ordn	spec	feature	Ordinals	
ornm	spec	feature	Ornaments	
palt	spec	feature	Proportional Alternate Widths	
pcap	spec	feature	Petite Capitals	
pkna	spec	feature	Proportional Kana	
pnum	spec	feature	Proportional Figures	
pref	spec	feature	Pre-Base Forms	
pres	spec	feature	Pre-Base Substitutions	
pstf	spec	feature	Post-Base Forms	
psts	spec	feature	Post-Base Substitutions	
pwid	spec	feature	Proportional Widths	
qwid	spec	feature	Quarter Widths	
rand	spec	feature	Randomize	
rclt	spec	feature	Required Contextual Alternates	
rkrf	spec	feature	Rakar Forms	
rlig	spec	feature	Required Ligatures	
rphf	spec	feature	Reph Forms	
rtbd	spec	feature	Right Bounds	
rtla	spec	feature	Right-To-Left Alternates	
rtlm	spec	feature	Right-To-Left Mirrored Forms	
ruby	spec	feature	Ruby Notation Forms	
rvrn	spec	feature	Required Variation Alternates	
salt	spec	feature	Stylistic Alternates	
sinf	spec	feature	Scientific Inferiors	
size	spec	feature	Optical Size	
smcp	spec	feature	Small Capitals	
smpl	spec	feature	Simplified Forms	
ss01	spec	feature	Stylistic Set 1	
ss02	spec	feature	Stylistic Set 2	
ss03	spec	feature	Stylistic Set 3	
ss04	spec	feature	Stylistic Set 4	
ss05	spec	feature	Stylistic Set 5	
ss06	spec	feature	Stylistic Set 6	
ss07	spec	feature	Stylistic Set 7	
ss08	spec	feature	Stylistic Set 8	
ss09	spec	feature	Stylistic Set 9	
