token	source	sfdir_file	context_required	category	block_level	definition
AccentBaseHeight	src_math_c	font.props	line_math	property	neutral	
AltUni2	spec	.glyph	none	property	neutral	
AlternateSubs2	spec	.glyph	none	property	neutral	
AnchorClass2	spec	font.props	none	property	neutral	
AnchorPoint	spec	.glyph	none	property	neutral	
AntiAlias	spec	font.props	none	property	neutral	
Ascent	spec	font.props	none	property	neutral	
AxisHeight	src_math_c	font.props	line_math	property	neutral	
BClass	spec	font.props	block_fpst	property	neutral	
BClsList	spec	font.props	block_fpst	property	neutral	
BCoverage	spec	font.props	block_fpst	property	neutral	
BDFChar	spec	.bitmap	none	property	block_start_or_continue	
BDFEndProperties	spec	strike.props	none	keyword	block_end	
BDFRefChar	spec	.bitmap	none	property	neutral	
BDFStartProperties	spec	strike.props	none	keyword	block_start	
BString	spec	font.props	block_fpst	property	neutral	
Back	spec	.glyph	none	constant	neutral	
Base	spec	autosave	none	property	neutral	
BaseHoriz	spec	font.props	none	property	neutral	
BaseScript	spec	font.props	none	property	neutral	
BeginChars	spec	font.props	none	keyword	block_start	
BeginMMFonts	spec	font.props	none	keyword	block_start	
BeginPrivate	spec	font.props	none	keyword	block_start	
BeginSubFonts	spec	font.props	none	keyword	block_start	
BitmapFont	spec	.bitmap	none	keyword	block_start	
BlueFuzz	src_splinefont_c	font.props	block_private	property	neutral	
BlueScale	src_splinefont_c	font.props	block_private	property	neutral	
BlueShift	src_splinefont_c	font.props	block_private	property	neutral	
BlueValues	spec	font.props	block_private	property	neutral	
BottomLeftVertex	spec	.glyph	none	property	neutral	
BottomRightVertex	spec	.glyph	none	property	neutral	
CIDVersion	spec	font.props	none	property	neutral	
COMMENT	spec	font.props	none	property	neutral	
ChainPos2	spec	font.props	none	keyword	block_start	
ChainSub2	spec	font.props	none	keyword	block_start	
Charname	src_sfd_c	autosave	none	property	neutral	
Class	spec	font.props	block_fpst|block_macasm	property	neutral	
Class0	src_sfd_c	font.props	block_fpst	property	neutral	
ClsList	spec	font.props	block_fpst	property	neutral	
Colour	spec	.glyph	none	property	neutral	
Comment	spec	.glyph	none	property	neutral	
Comments	spec	font.props	none	property	neutral	
Compacted	src_sfd_c	font.props	none	property	neutral	
CompositionUnit	src_sfd_c	font.props	none	property	neutral	
ContextPos2	spec	font.props	none	keyword	block_start	
ContextSub2	spec	font.props	none	keyword	block_start	
CopiedFrom	src_sfd_c	autosave	none	property	neutral	
Copyright	spec	font.props	none	property	neutral	
CounterMasks	spec	.glyph	none	property	neutral	
Coverage	spec	font.props	block_fpst	property	neutral	
CreationTime	spec	font.props	none	property	neutral	
DEI	spec	font.props	none	property	neutral	
DStem2	spec	.glyph	none	property	neutral	
Decomposition	src_sfd_c	font.props	none	property	neutral	
DelimitedSubFormulaMinHeight	src_math_c	font.props	line_math	property	neutral	
Descent	spec	font.props	none	property	neutral	
DesignSize	src_sfd_c	font.props	none	property	neutral	
DisplayLayer	spec	font.props	none	property	neutral	
DisplayOperatorMinHeight	src_math_c	font.props	line_math	property	neutral	
DisplaySize	spec	font.props	none	property	neutral	
Encoding	spec	font.props|.glyph	none	property	neutral	
EndASM	spec	font.props	none	keyword	block_end	
EndBitmapFont	spec	font.props	none	keyword	block_end	
EndChar	spec	.glyph	none	keyword	block_end	
EndChars	spec	font.props	none	keyword	block_end	
EndFPST	spec	font.props	none	keyword	block_end	
EndImage	spec	.glyph	none	keyword	block_end	
EndImage2	src_sfd_c	.glyph	none	keyword	block_end	
EndJustify	spec	font.props	none	keyword	block_end	
EndMacFeatures	src_sfd_c	font.props	none	keyword	block_end	
EndMMSubroutine	spec	font.props	none	keyword	block_end	
End{s}Operation	src_sfd_c	autosave	none	property	neutral	
EndPrivate	spec	font.props	none	keyword	block_end	
EndRedoes	src_sfd_c	autosave	none	property	block_end	
EndShort	spec	.glyph	block_tttable	keyword	block_end	
EndSpiro	spec	.glyph	none	keyword	block_end	
EndSplineFont	spec	font.props	none	keyword	neutral	
EndSplineSet	spec	.glyph	none	keyword	block_end	
EndTtf	spec	.glyph	none	keyword	block_end	
EndUndoes	src_sfd_c	autosave	none	property	block_end	
EndUndoRedoHistory	src_sfd_c	autosave	none	property	block_end	
ExpansionFactor	src_splinefont_c	font.props	none	property	neutral	
ExtremaBound	spec	font.props	none	property	neutral	
FClass	src_sfd_c	font.props	block_fpst	property	neutral	
FClsList	spec	font.props	block_fpst	property	neutral	
FCoverage	src_sfd_c	font.props	block_fpst	property	neutral	
FONDName	src_sfd_c	font.props	none	property	neutral	
FONT_DESCENT	spec	strike.props	block_bdfproperties	property	neutral	
FSType	spec	font.props	none	property	neutral	
FString	spec	font.props	block_fpst	property	neutral	
FamilyBlues	src_splinefont_c	font.props	block_private	property	neutral	
FamilyOtherBlues	src_splinefont_c	font.props	block_private	property	neutral	
FamilyName	spec	font.props	none	property	neutral	
FillGradient	spec	.glyph	none	property	neutral	
FillPattern	spec	.glyph	none	property	neutral	
FitToEm	spec	font.props	none	property	neutral	
Flags	spec	font.props	none	property	neutral	
FlattenedAccentBaseHeight	src_math_c	font.props	line_math	property	neutral	
